Algorithm,Program,nPages,nFrames,#PageFaults,#DiskReads,#DiskWrites
custom, focus,100,65,100,100,35
custom, focus,100,66,100,100,34
custom, focus,100,67,100,100,33
custom, focus,100,68,100,100,32
custom, focus,100,69,100,100,31
custom, focus,100,70,100,100,30
custom, focus,100,71,100,100,29
custom, focus,100,72,100,100,28
custom, focus,100,73,100,100,27
custom, focus,100,74,100,100,26
custom, focus,100,75,100,100,25
custom, focus,100,76,100,100,24
custom, focus,100,77,100,100,23
custom, focus,100,78,100,100,22
custom, focus,100,79,100,100,21
custom, focus,100,80,100,100,20
custom, focus,100,81,100,100,19
custom, focus,100,82,100,100,18
custom, focus,100,83,100,100,17
custom, focus,100,84,100,100,16
custom, focus,100,85,100,100,15
custom, focus,100,86,100,100,14
custom, focus,100,87,100,100,13
custom, focus,100,88,100,100,12
custom, focus,100,89,100,100,11
custom, focus,100,90,100,100,10
custom, focus,100,91,100,100,9
custom, focus,100,92,100,100,8
custom, focus,100,93,100,100,7
custom, focus,100,94,100,100,6
custom, focus,100,95,100,100,5
custom, focus,100,96,100,100,4
custom, focus,100,97,100,100,3
custom, focus,100,98,100,100,2
custom, focus,100,99,100,100,1
custom, focus,100,100,100,0,0
