Algorithm,Program,nPages,nFrames,#PageFaults,#DiskReads,#DiskWrites
fifo, scan,100,73,100,100,27
fifo, scan,100,74,100,100,26
fifo, scan,100,75,100,100,25
fifo, scan,100,76,100,100,24
fifo, scan,100,77,100,100,23
fifo, scan,100,78,100,100,22
fifo, scan,100,79,100,100,21
fifo, scan,100,80,100,100,20
fifo, scan,100,81,100,100,19
fifo, scan,100,82,100,100,18
fifo, scan,100,83,100,100,17
fifo, scan,100,84,100,100,16
fifo, scan,100,85,100,100,15
fifo, scan,100,86,100,100,14
fifo, scan,100,87,100,100,13
fifo, scan,100,88,100,100,12
fifo, scan,100,89,100,100,11
fifo, scan,100,90,100,100,10
fifo, scan,100,91,100,100,9
fifo, scan,100,92,100,100,8
fifo, scan,100,93,100,100,7
fifo, scan,100,94,100,100,6
fifo, scan,100,95,100,100,5
fifo, scan,100,96,100,100,4
fifo, scan,100,97,100,100,3
fifo, scan,100,98,100,100,2
fifo, scan,100,99,100,100,1
fifo, scan,100,100,100,0,0
custom, scan,100,3,100,100,97
custom, scan,100,4,100,100,96
custom, scan,100,5,100,100,95
custom, scan,100,6,100,100,94
custom, scan,100,7,100,100,93
custom, scan,100,8,100,100,92
custom, scan,100,9,100,100,91
custom, scan,100,10,100,100,90
custom, scan,100,11,100,100,89
custom, scan,100,12,100,100,88
custom, scan,100,13,100,100,87
custom, scan,100,14,100,100,86
custom, scan,100,15,100,100,85
custom, scan,100,16,100,100,84
custom, scan,100,17,100,100,83
custom, scan,100,18,100,100,82
custom, scan,100,19,100,100,81
custom, scan,100,20,100,100,80
custom, scan,100,21,100,100,79
custom, scan,100,22,100,100,78
custom, scan,100,23,100,100,77
custom, scan,100,24,100,100,76
custom, scan,100,25,100,100,75
custom, scan,100,26,100,100,74
custom, scan,100,27,100,100,73
custom, scan,100,28,100,100,72
custom, scan,100,29,100,100,71
custom, scan,100,30,100,100,70
custom, scan,100,31,100,100,69
custom, scan,100,32,100,100,68
custom, scan,100,33,100,100,67
custom, scan,100,34,100,100,66
custom, scan,100,35,100,100,65
custom, scan,100,36,100,100,64
custom, scan,100,37,100,100,63
custom, scan,100,38,100,100,62
custom, scan,100,39,100,100,61
custom, scan,100,40,100,100,60
custom, scan,100,41,100,100,59
custom, scan,100,42,100,100,58
custom, scan,100,43,100,100,57
custom, scan,100,44,100,100,56
custom, scan,100,45,100,100,55
custom, scan,100,46,100,100,54
custom, scan,100,47,100,100,53
custom, scan,100,48,100,100,52
custom, scan,100,49,100,100,51
custom, scan,100,50,100,100,50
custom, scan,100,51,100,100,49
custom, scan,100,52,100,100,48
custom, scan,100,53,100,100,47
custom, scan,100,54,100,100,46
custom, scan,100,55,100,100,45
custom, scan,100,56,100,100,44
custom, scan,100,57,100,100,43
custom, scan,100,58,100,100,42
custom, scan,100,59,100,100,41
custom, scan,100,60,100,100,40
custom, scan,100,61,100,100,39
custom, scan,100,62,100,100,38
custom, scan,100,63,100,100,37
custom, scan,100,64,100,100,36
custom, scan,100,65,100,100,35
custom, scan,100,66,100,100,34
custom, scan,100,67,100,100,33
custom, scan,100,68,100,100,32
custom, scan,100,69,100,100,31
custom, scan,100,70,100,100,30
custom, scan,100,71,100,100,29
custom, scan,100,72,100,100,28
custom, scan,100,73,100,100,27
custom, scan,100,74,100,100,26
custom, scan,100,75,100,100,25
custom, scan,100,76,100,100,24
custom, scan,100,77,100,100,23
custom, scan,100,78,100,100,22
custom, scan,100,79,100,100,21
custom, scan,100,80,100,100,20
custom, scan,100,81,100,100,19
custom, scan,100,82,100,100,18
custom, scan,100,83,100,100,17
custom, scan,100,84,100,100,16
custom, scan,100,85,100,100,15
custom, scan,100,86,100,100,14
custom, scan,100,87,100,100,13
custom, scan,100,88,100,100,12
custom, scan,100,89,100,100,11
custom, scan,100,90,100,100,10
custom, scan,100,91,100,100,9
custom, scan,100,92,100,100,8
custom, scan,100,93,100,100,7
custom, scan,100,94,100,100,6
custom, scan,100,95,100,100,5
custom, scan,100,96,100,100,4
custom, scan,100,97,100,100,3
custom, scan,100,98,100,100,2
custom, scan,100,99,100,100,1
custom, scan,100,100,100,0,0
rand, sort,100,3,105,100,97
rand, sort,100,4,100,100,96
rand, sort,100,5,104,100,95
rand, sort,100,6,108,100,94
rand, sort,100,7,105,100,93
rand, sort,100,8,107,100,92
rand, sort,100,9,111,100,91
rand, sort,100,10,121,100,90
rand, sort,100,11,110,100,89
rand, sort,100,12,110,100,88
rand, sort,100,13,115,100,87
rand, sort,100,14,113,100,86
rand, sort,100,15,133,100,85
rand, sort,100,16,127,100,84
rand, sort,100,17,134,100,83
rand, sort,100,18,197,100,82
rand, sort,100,19,143,100,81
rand, sort,100,20,150,100,80
rand, sort,100,21,132,100,79
rand, sort,100,22,125,100,78
rand, sort,100,23,149,100,77
rand, sort,100,24,161,100,76
rand, sort,100,25,128,100,75
rand, sort,100,26,222,100,74
rand, sort,100,27,147,100,73
rand, sort,100,28,165,100,72
rand, sort,100,29,178,100,71
rand, sort,100,30,286,100,70
rand, sort,100,31,171,100,69
rand, sort,100,32,264,100,68
rand, sort,100,33,177,100,67
rand, sort,100,34,150,100,66
rand, sort,100,35,177,100,65
rand, sort,100,36,214,100,64
rand, sort,100,37,250,100,63
rand, sort,100,38,254,100,62
rand, sort,100,39,203,100,61
rand, sort,100,40,217,100,60
rand, sort,100,41,339,100,59
rand, sort,100,42,263,100,58
rand, sort,100,43,206,100,57
rand, sort,100,44,198,100,56
rand, sort,100,45,220,100,55
rand, sort,100,46,222,100,54
rand, sort,100,47,226,100,53
rand, sort,100,48,391,100,52
rand, sort,100,49,237,100,51
rand, sort,100,50,404,100,50
rand, sort,100,51,218,100,49
rand, sort,100,52,217,100,48
rand, sort,100,53,243,100,47
rand, sort,100,54,475,100,46
rand, sort,100,55,440,100,45
rand, sort,100,56,329,100,44
rand, sort,100,57,255,100,43
rand, sort,100,58,389,100,42
rand, sort,100,59,437,100,41
rand, sort,100,60,295,100,40
rand, sort,100,61,434,100,39
rand, sort,100,62,206,100,38
rand, sort,100,63,291,100,37
rand, sort,100,64,264,100,36
rand, sort,100,65,391,100,35
rand, sort,100,66,363,100,34
rand, sort,100,67,611,100,33
rand, sort,100,68,253,100,32
rand, sort,100,69,271,100,31
rand, sort,100,70,271,100,30
rand, sort,100,71,467,100,29
rand, sort,100,72,320,100,28
rand, sort,100,73,342,100,27
rand, sort,100,74,356,100,26
rand, sort,100,75,547,100,25
rand, sort,100,76,458,100,24
rand, sort,100,77,385,100,23
rand, sort,100,78,515,100,22
rand, sort,100,79,285,100,21
rand, sort,100,80,346,100,20
rand, sort,100,81,325,100,19
rand, sort,100,82,514,100,18
rand, sort,100,83,301,100,17
rand, sort,100,84,619,100,16
rand, sort,100,85,402,100,15
rand, sort,100,86,361,100,14
rand, sort,100,87,449,100,13
rand, sort,100,88,310,100,12
rand, sort,100,89,335,100,11
rand, sort,100,90,408,100,10
rand, sort,100,91,326,100,9
rand, sort,100,92,787,100,8
rand, sort,100,93,477,100,7
rand, sort,100,94,440,100,6
rand, sort,100,95,539,100,5
rand, sort,100,96,495,100,4
rand, sort,100,97,418,100,3
rand, sort,100,98,481,100,2
rand, sort,100,99,730,100,1
rand, sort,100,100,100,0,0
fifo, sort,100,3,100,100,97
fifo, sort,100,4,100,100,96
fifo, sort,100,5,100,100,95
fifo, sort,100,6,100,100,94
fifo, sort,100,7,100,100,93
fifo, sort,100,8,100,100,92
fifo, sort,100,9,100,100,91
fifo, sort,100,10,100,100,90
fifo, sort,100,11,100,100,89
fifo, sort,100,12,100,100,88
fifo, sort,100,13,100,100,87
fifo, sort,100,14,100,100,86
fifo, sort,100,15,100,100,85
fifo, sort,100,16,100,100,84
fifo, sort,100,17,100,100,83
fifo, sort,100,18,100,100,82
fifo, sort,100,19,100,100,81
fifo, sort,100,20,100,100,80
fifo, sort,100,21,100,100,79
fifo, sort,100,22,100,100,78
fifo, sort,100,23,100,100,77
fifo, sort,100,24,100,100,76
fifo, sort,100,25,100,100,75
